"","MIN","total_reads","no_samples","parent_MIN","type","rank"
"5942","MZP_000003317",467,18,"MZP_000003317","parent",673
"5943","MZP_000003319",5,1,"MZP_000003319","parent",4374
"5944","MZP_000003321",120,11,"MZP_000003321","parent",1149
"5945","MZP_000003322",25,6,"MZP_000003322","parent",2171
"5946","MZP_000003324",7,1,"MZP_000003324","parent",3751
"5947","MZP_000003325",2455,35,"MZP_000003325","parent",382
"5948","MZP_000003326",14,3,"MZP_000003326","parent",2752
"5949","MZP_000003327",35,7,"MZP_000003327","parent",1885
"5950","MZP_000003328",6,1,"MZP_000003328","parent",4021
"5951","MZP_000003330",347,9,"MZP_000003330","parent",751
"5952","MZP_000003331",6,1,"MZP_000003331","parent",4022
"5953","MZP_000003332",17,7,"MZP_000003332","parent",2519
"5954","MZP_000003335",771,22,"MZP_000003335","parent",551
"5955","MZP_000003336",116,10,"MZP_000003336","parent",1161
"5956","MZP_000003337",130,9,"MZP_000003337","parent",1116
"5957","MZP_000003338",57,10,"MZP_000003338","parent",1532
"5958","MZP_000003339",36,8,"MZP_000003339","parent",1864
"5959","MZP_000003340",42,9,"MZP_000003340","parent",1747
"5960","MZP_000003341",825,21,"MZP_000003341","parent",541
"5961","MZP_000003343",174,9,"MZP_000003343","parent",992
"5962","MZP_000003344",11,1,"MZP_000003344","parent",3074
"5963","MZP_000003345",27,8,"MZP_000003345","parent",2103
"5964","MZP_000003346",32,10,"MZP_000003346","parent",1953
"5965","MZP_000003347",109,11,"MZP_000003347","parent",1186
"5966","MZP_000003348",159,22,"MZP_000003348","parent",1038
"5967","MZP_000012377",2,2,"MZP_000003348","pseudogene",5838
"5968","MZP_000003349",8,1,"MZP_000003349","parent",3541
"5969","MZP_000003350",27,9,"MZP_000003350","parent",2100
"5970","MZP_000003351",23,5,"MZP_000003351","parent",2241
"5971","MZP_000003352",20,5,"MZP_000003352","parent",2362
"5972","MZP_000003353",6,1,"MZP_000003353","parent",4023
"5973","MZP_000003357",9,2,"MZP_000003357","parent",3345
"5974","MZP_000003358",14,3,"MZP_000003358","parent",2753
"5975","MZP_000003359",163,16,"MZP_000003359","parent",1018
"5976","MZP_000003360",19,6,"MZP_000003360","parent",2421
"5977","MZP_000003361",131,3,"MZP_000003361","parent",1113
"5978","MZP_000003364",25,8,"MZP_000003364","parent",2167
"5979","MZP_000003365",15,6,"MZP_000003365","parent",2660
"5980","MZP_000003367",41,7,"MZP_000003367","parent",1774
"5981","MZP_000003368",6,1,"MZP_000003368","parent",4024
"5982","MZP_000003370",583,22,"MZP_000003370","parent",623
"5983","MZP_000003371",27,8,"MZP_000003371","parent",2104
"5984","MZP_000003372",6,3,"MZP_000003372","parent",3841
"5985","MZP_000003373",20,4,"MZP_000003373","parent",2372
"5986","MZP_000003374",494,19,"MZP_000003374","parent",662
"5987","MZP_000003375",31,10,"MZP_000003375","parent",1992
"5988","MZP_000005870",2,1,"MZP_000003375","pseudogene",6942
"5989","MZP_000003376",42,2,"MZP_000003376","parent",1762
"5990","MZP_000003377",209,25,"MZP_000003377","parent",922
"5991","MZP_000003378",50,12,"MZP_000003378","parent",1618
"5992","MZP_000004881",2,1,"MZP_000003378","pseudogene",6363
"5993","MZP_000003379",90,14,"MZP_000003379","parent",1295
"5994","MZP_000003380",63,6,"MZP_000003380","parent",1483
"5995","MZP_000005612",3,2,"MZP_000003380","pseudogene",5376
"5996","MZP_000003381",83,7,"MZP_000003381","parent",1329
"5997","MZP_000003382",36,17,"MZP_000003382","parent",1860
"5998","MZP_000003384",214,8,"MZP_000003384","parent",915
"5999","MZP_000003385",5,1,"MZP_000003385","parent",4376
"6000","MZP_000003386",41,9,"MZP_000003386","parent",1771
"6001","MZP_000013799",3,2,"MZP_000003386","pseudogene",5439
"6002","MZP_000003387",18,3,"MZP_000003387","parent",2476
"6003","MZP_000003388",23,10,"MZP_000003388","parent",2225
"6004","MZP_000003389",21,5,"MZP_000003389","parent",2327
"6005","MZP_000003390",23,5,"MZP_000003390","parent",2242
"6006","MZP_000003392",14,2,"MZP_000003392","parent",2775
"6007","MZP_000003393",6,2,"MZP_000003393","parent",3897
"6008","MZP_000003394",6,3,"MZP_000003394","parent",3843
"6009","MZP_000003395",31,3,"MZP_000003395","parent",2010
"6010","MZP_000003396",19,5,"MZP_000003396","parent",2428
"6011","MZP_000003397",36,5,"MZP_000003397","parent",1870
"6012","MZP_000003398",18,5,"MZP_000003398","parent",2465
"6013","MZP_000012363",4,2,"MZP_000003398","pseudogene",4649
"6014","MZP_000003399",5,1,"MZP_000003399","parent",4377
"6015","MZP_000003400",33,12,"MZP_000003400","parent",1930
"6016","MZP_000003401",7,1,"MZP_000003401","parent",3752
"6017","MZP_000003402",19,6,"MZP_000003402","parent",2422
"6018","MZP_000003403",16,4,"MZP_000003403","parent",2593
"6019","MZP_000013923",2,1,"MZP_000003403","pseudogene",10695
"6020","MZP_000003404",15,6,"MZP_000003404","parent",2661
"6021","MZP_000003405",97,10,"MZP_000003405","parent",1254
"6022","MZP_000003406",29,7,"MZP_000003406","parent",2048
"6023","MZP_000003407",32,1,"MZP_000003407","parent",1981
"6024","MZP_000003408",25,4,"MZP_000003408","parent",2177
"6025","MZP_000003409",23,1,"MZP_000003409","parent",2252
"6026","MZP_000003417",13,1,"MZP_000003409","pseudogene",2867
"6027","MZP_000003410",10,4,"MZP_000003410","parent",3111
"6028","MZP_000003411",16,2,"MZP_000003411","parent",2618
"6029","MZP_000003413",17,5,"MZP_000003413","parent",2534
"6030","MZP_000003414",15,1,"MZP_000003414","parent",2712
"6031","MZP_000013802",2,1,"MZP_000003414","pseudogene",10637
"6032","MZP_000003415",7,1,"MZP_000003415","parent",3753
"6033","MZP_000003416",7,3,"MZP_000003416","parent",3667
"6034","MZP_000003419",124,18,"MZP_000003419","parent",1134
"6035","MZP_000003420",12,6,"MZP_000003420","parent",2882
"6036","MZP_000003421",27,4,"MZP_000003421","parent",2118
"6037","MZP_000003422",714,19,"MZP_000003422","parent",576
"6038","MZP_000014014",4,1,"MZP_000003422","pseudogene",5320
"6039","MZP_000003424",217,15,"MZP_000003424","parent",907
"6040","MZP_000005654",10,3,"MZP_000003424","pseudogene",3145
"6041","MZP_000003425",43,7,"MZP_000003425","parent",1733
"6042","MZP_000003426",51,5,"MZP_000003426","parent",1613
"6043","MZP_000003427",7,1,"MZP_000003427","parent",3754
"6044","MZP_000013844",3,1,"MZP_000003427","pseudogene",5688
"6045","MZP_000003428",11,3,"MZP_000003428","parent",3038
"6046","MZP_000003430",7,3,"MZP_000003430","parent",3668
"6047","MZP_000003431",260,9,"MZP_000003431","parent",835
"6048","MZP_000003432",12,3,"MZP_000003432","parent",2913
"6049","MZP_000003434",39,12,"MZP_000003434","parent",1799
"6050","MZP_000003435",16,6,"MZP_000003435","parent",2576
"6051","MZP_000003436",8,3,"MZP_000003436","parent",3448
"6052","MZP_000003437",14,2,"MZP_000003437","parent",2776
"6053","MZP_000003438",49,13,"MZP_000003438","parent",1630
"6054","MZP_000003439",71,14,"MZP_000003439","parent",1408
"6055","MZP_000003440",5,1,"MZP_000003440","parent",4379
"6056","MZP_000003441",15,1,"MZP_000003441","parent",2713
"6057","MZP_000003442",1813,26,"MZP_000003442","parent",424
"6058","MZP_000003443",9,3,"MZP_000003443","parent",3323
"6059","MZP_000003444",7,1,"MZP_000003444","parent",3755
"6060","MZP_000003445",5,1,"MZP_000003445","parent",4380
"6061","MZP_000003447",6,1,"MZP_000003447","parent",4025
"6062","MZP_000003448",27,7,"MZP_000003448","parent",2106
"6063","MZP_000003449",36,6,"MZP_000003449","parent",1866
"6064","MZP_000003450",24,8,"MZP_000003450","parent",2193
"6065","MZP_000003451",161,15,"MZP_000003451","parent",1028
"6066","MZP_000003452",5350,10,"MZP_000003452","parent",281
"6067","MZP_000004840",2,1,"MZP_000003452","pseudogene",6322
"6068","MZP_000011222",2,1,"MZP_000003452","pseudogene",10049
"6069","MZP_000003453",11,8,"MZP_000003453","parent",2999
"6070","MZP_000003454",93,8,"MZP_000003454","parent",1274
"6071","MZP_000003455",98,8,"MZP_000003455","parent",1249
"6072","MZP_000003456",1379,9,"MZP_000003456","parent",466
"6073","MZP_000003457",69,16,"MZP_000003457","parent",1433
"6074","MZP_000004348",4,1,"MZP_000003457","pseudogene",4754
"6075","MZP_000003458",179,17,"MZP_000003458","parent",975
"6076","MZP_000004238",6,1,"MZP_000003458","pseudogene",4075
"6077","MZP_000004239",6,2,"MZP_000003458","pseudogene",3933
"6078","MZP_000003460",55,6,"MZP_000003460","parent",1557
"6079","MZP_000003461",198,6,"MZP_000003461","parent",941
"6080","MZP_000003462",54,3,"MZP_000003462","parent",1578
"6081","MZP_000003463",17,8,"MZP_000003463","parent",2512
"6082","MZP_000003464",80,16,"MZP_000003464","parent",1351
"6083","MZP_000003465",92,11,"MZP_000003465","parent",1283
"6084","MZP_000003466",151,10,"MZP_000003466","parent",1059
"6085","MZP_000008637",2,1,"MZP_000003466","pseudogene",7489
"6086","MZP_000003467",28,11,"MZP_000003467","parent",2067
"6087","MZP_000003468",109,11,"MZP_000003468","parent",1187
"6088","MZP_000003470",12,6,"MZP_000003470","parent",2883
"6089","MZP_000003471",61,9,"MZP_000003471","parent",1497
"6090","MZP_000003472",97,7,"MZP_000003472","parent",1256
"6091","MZP_000003473",26,4,"MZP_000003473","parent",2145
"6092","MZP_000003474",17,2,"MZP_000003474","parent",2552
"6093","MZP_000003475",5,1,"MZP_000003475","parent",4382
"6094","MZP_000003476",24,8,"MZP_000003476","parent",2194
"6095","MZP_000003477",7,2,"MZP_000003477","parent",3700
"6096","MZP_000003478",8,3,"MZP_000003478","parent",3449
"6097","MZP_000003479",11,3,"MZP_000003479","parent",3039
"6098","MZP_000003481",39,3,"MZP_000003481","parent",1810
"6099","MZP_000003484",7,1,"MZP_000003484","parent",3756
"6100","MZP_000003486",5,1,"MZP_000003486","parent",4383
"6101","MZP_000003487",7,2,"MZP_000003487","parent",3701
"6102","MZP_000003488",12,3,"MZP_000003488","parent",2914
"6103","MZP_000003489",34,5,"MZP_000003489","parent",1910
"6104","MZP_000003490",10,3,"MZP_000003490","parent",3134
"6105","MZP_000003491",5,2,"MZP_000003491","parent",4300
"6106","MZP_000003492",16,5,"MZP_000003492","parent",2583
"6107","MZP_000003493",12,3,"MZP_000003493","parent",2915
"6108","MZP_000003494",7,1,"MZP_000003494","parent",3757
"6109","MZP_000003495",34,7,"MZP_000003495","parent",1901
"6110","MZP_000003496",12,2,"MZP_000003496","parent",2942
"6111","MZP_000003498",7,1,"MZP_000003498","parent",3758
"6112","MZP_000003499",8,2,"MZP_000003499","parent",3487
"6113","MZP_000003500",11,3,"MZP_000003500","parent",3040
"6114","MZP_000003501",21,7,"MZP_000003501","parent",2319
"6115","MZP_000003502",10,1,"MZP_000003502","parent",3223
"6116","MZP_000003503",32,8,"MZP_000003503","parent",1956
"6117","MZP_000003505",246,10,"MZP_000003505","parent",860
"6118","MZP_000003506",7,1,"MZP_000003506","parent",3759
"6119","MZP_000003507",7,2,"MZP_000003507","parent",3702
"6120","MZP_000003509",54,8,"MZP_000003509","parent",1572
"6121","MZP_000003510",2446,3,"MZP_000003510","parent",383
"6122","MZP_000003511",1179,9,"MZP_000003511","parent",494
"6123","MZP_000003512",21,1,"MZP_000003512","parent",2343
"6124","MZP_000003513",8,2,"MZP_000003513","parent",3488
"6125","MZP_000003514",88,2,"MZP_000003514","parent",1304
"6126","MZP_000003515",43,3,"MZP_000003515","parent",1739
"6127","MZP_000003516",58,10,"MZP_000003516","parent",1525
"6128","MZP_000003518",10,1,"MZP_000003518","parent",3224
"6129","MZP_000003519",7,1,"MZP_000003519","parent",3760
"6130","MZP_000003520",36,3,"MZP_000003520","parent",1873
"6131","MZP_000003522",12,3,"MZP_000003522","parent",2916
"6132","MZP_000003524",326,10,"MZP_000003524","parent",770
"6133","MZP_000003469",5,1,"MZP_000003524","pseudogene",4381
"6134","MZP_000013986",2,1,"MZP_000003524","pseudogene",10730
"6135","MZP_000003525",31,8,"MZP_000003525","parent",1993
